1244,3,3,152904,98743,545679,240114,546599,544422,226159,545920
2019,4,4,252075,107112,157725,437894,252076,437937,437880,437876
658,2,3,71037,411796,21696,408837,205506,132672,278726,303161
2335,5,5,164376,430355,423319,420514,34070,118347,362924,332828
336,1,1,366254,144253,874,364780,390082,247195,466635,206644
3346,2,2,269383,200055,350407,110280,536007,349471,456624,322946
1565,3,4,501401,133070,253869,281947,332098,238784,73234,213094
452,5,5,247059,543163,542185,127569,179922,172368,543174,538288
1523,4,4,543731,39543,176605,29760,543763,542875,151749,176909
3015,1,1,9324,209024,214329,101777,510272,238014,335150,282390
4167,3,3,371184,224926,353762,517706,353763,290135,350882,68128
1714,4,4,322608,110063,353311,269200,443074,250262,472804,448869
1341,2,3,47695,154241,134889,124094,6597,300586,367023,399683
502,3,3,497339,337504,404753,468192,14600,101296,32240,443898
3238,5,5,296208,110651,216827,488814,186614,38086,221437,313447
